text,label
"Terima kasih gan, barang sudah sampai dalam kondisi baik, ditunggu ya gan",0
kacanya retak seperti hp bekas,0
Ksh iya karena merknya jelas beda,0
Barang sesuai pesanan tapi kenapa box dan boxnya hanya plastik,0
Saya suka tali sepatu bergaris seperti yang dipesan NMR. Kirim Nmr,0
barang bekerja dengan cepat dan rusak,0
Barang sesuai deskripsi dan bisa ditempel di interior mobil yang bergelombang. Kualitas plastiknya juga diragukan,0
"Barang diretur karena pointer mouse tidak berfungsi alias tidak ada ongkir retur, beban beli semuanya, ongkos kirim, lapak tidak rugi banget, untung mouse dikembalikan, dan lancar jaya",0
Saya telah menerima yang dudukannya terpotong,0
Hp yang tidak berbunyi saat ditelepon memang mengecewakan,0
"Baterainya tidak tahan lama, rapuh",0
Barangnya tidak cocok dengan Mouse for Motion Asus Xa,0
Mouse tidak memiliki kursor,0
tidak dapat dideteksi tanpa menggunakannya zzzzzz,0
Gunakan analog kanan,0
"relatif cepat, cek kualitas barang, kirim CZ dan gunakan kabel korsleting",0
"Salah kirim barang, ongkos kirim pengembalian sebesar harga sepatu, terima saja",0
"Pesan warna merah, dikirim warna biru, kecewa",0
paket itu hancur,0
hitam untuk putih,0
"PC sennya retak tapi sama amplinya, lampu yang satu lagi rusak, tapi yang satu oke, tidak ada masalah, mohon dicek lagi sebelum kirim barangnya, dan bisnisnya tidak cacat.",0
Kabelnya lumayan tapi cocok untuk aplikasi outdoor,0
hal-hal yang rusak,0
"Produk rusak, tidak komplain, dijual lalu disuruh tukar baterai, dikirim untuk dijual, tidak direspon, kecewa",0
sesuai dengan gambar,0
Berbagai merek dalam deskripsi foto,0
"Pesanan OK Mal Fungsi Tidak Fungsi Komplain Ongkos Balik Balik, mending beli di toko, kasih note, cek, kirim pakai Gojek instan, proses beberapa menit, langsung kirim, silahkan QC, perhatikan merk MTech. Gambar Nisuta terlihat sangat buruk.",0
kabelnya putus dan tidak nyambung,0
produk saya mudah rusak,0
"Jika barang tidak sesuai, jangan bilang siap. Banyak online shop yang bagus haeeeeeh",0
"Ini tidak cocok untuk jam tangan pria, diameter talinya terlalu kecil untuk dipakai pria, saya akan memberikannya kepada Anda dan membantu saya dengan jam tangan wanita",0
"barangnya sepertinya bekas gan, cepat kirimnya",0
"sayang sekali dikasih barang bekas, udah rusak, mengecewakan banget",0
menempel di dasbor,0
"baju pendek, ukuran baju koko lebar, ukuran XL",0
"Pengirimannya cepat, tapi baterainya tidak berfungsi saat baterai dicas, hanya kulkasnya tersumbat",0
sangat keren,0
"Gan, saya sudah pesan barang yang dikirim, tapi rugi kalau tidak",0
Ponsel restart dan cap nokia tidak berfungsi sesuai harapan,0
Standar banget bosswaduh,0
tinggal sablon logonya,0
sesuai deskripsi yang diterima m,0
fast respon tapi sayang casingnya pecah,0
harga kualitas kualitas buruk,0
Barang IC mati,0
Anggota Bata kecewa karena layanan ecommerce Bata buruk sekali,0
"Barang selamat, rusak, kurir penjual tongkat patah, fungsi kecewa gan",0
"sesuai deskripsi, kecewa di toko online ya, bodypack aman, bagus, coba kirim dan lihat ketika saya melihatnya, detail pengukuran hilang ukuran tonjolan ritsleting yang sesuai, ragu-ragu kembali, bodypack toko resmi",0
"Barangnya pas, sayang rusak, tidak bisa dipakai",0
bagus sekali,0
"Kecewa, tadi malam barang ready, pesan subuh, kirim pagi, siang, tunda, kirim base, cancel, ribuan base seperti gin, butuh konverter HDMI cepat, barang terpaksa pesan toko kota, jadi paket tidak pakai presentasi, senin pagi, pesan toko, hitung sabtu, minggu, sampai kirim sore atau minggu, buka lho, kirim sore, buang-buang uang, buang, batal otomatis, batal, aduh.",0
Jualan peka terhadap keluhan CS dan pelanggan yang kecewa,0
cukup cukup lumayan,0
Ya,0
php bilang isi skripsinya beda dan isinya tidak sesuai,0
"bermain dengan anak-anak, jangan membeli barang",0
pakai rusak,0
Responnya cepat tapi lama sekali. Barang bagus tapi retak sayang,0
Model yang dipesan sesuai dengan kualitas barang yang ditampilkan dan kekasaran barang yang diterima,0
barang rusak yang dikirim,0
"Jahitannya bagus, ada belahannya, khawatir celananya aus dan sobek",0
Barang cepat sampai dan tidak berfungsi kalau saya pakai yang asli gan,0
kualitas peretasan,0
penjual type lapak advan full view g pro g seperti judul lapaknya berubah saat di chat flat return jika penjual salah ketik type solusinya ok begono,0
Ukur sesuai dengan ponsel,0
seperti yang Anda lihat,0
kualitas visualnya bagus,0
"Aku suka Brodo tapi kecewa Aku belinya setelah beberapa jahitannya kurang rapi, lepas, beli bekas, sepatunya bau, aku tahu produknya saat sedang diobral, tapi perhatikan, kalau produknya worth it, tidak bisa dikembalikan ya.",0
"Barang berfungsi dengan baik, buku manual dalam kondisi baik, terima kasih, headset bekasnya bekas",0
"Yang sennya joysticknya merk MTech, yang dikirim beda merk yaitu Nisuta",0
tidak ada gambar,0
Tidak sesuai dengan gambar Google,0
"produknya jelek banget, kasih ke orang yang malu ambil foto bagus produk aslinya, jangan dibeli",0
"Kualitasnya kurang bagus tapi karakternya sedih, yang mau strawberry karena pengirimannya beda, cari yang bayar, semoga salah, tutup depan, silahkan dicek pesanan yang masuk, kirim berkat untuk jual beli, amin",0
Baterai D habis alias menjatuhkan bom pakai setelah charger jam tangan habis,0
Deknya kecil gan,0
headsetnya tidak menyala,0
"baterai cepat habis, lampu keypad menyala",0
lubangnya tidak terlalu miring,0
produk habis stok menggunakan nomor pelacakan produk dikirim mencurigakan tetangga kurir jne memberikan barang pengganti tidak hati-hati contact person harap berbaik hati di depan,0
Barang yang saya terima tidak sesuai,0
Kembalikan uang untuk info barang kosong,0
"Barang sesuai deskripsi, kemasan dari karton sobek",0
kurang tanggung jawab ketika mengeluh,0
barang tidak berfungsi dengan baik,0
spek barang sesuai gambar seri baterai mah yang menerima kapasitas seri harap direspon kak setelah berhari-hari tidak ada respon terpercaya harap perbarui gambar amp deskripsi sesuai stok,0
payahkkk,0
"Busa balik, menyesal bel foto lengkap",0
Kualitas barang yang dikirim sesuai dengan warna yang dipesan,0
"Kirim cepat barang yang dibeli sesuai instruksi. Respon penjual baik, tapi penukaran produk sedikit",0
"suaranya jelek banget dan penerimaan telepon tidak berfungsi, baterai tidak dipakai berhari-hari, keypadnya juga susah",0
"Kecewa sepatunya dipakai jalan beberapa jam kemudian, talinya putus, bahan kulit halus dan lem",0
"rusak, tidak bisa digunakan, mati",0
"Produk buruk, ponsel tidak hidup begitu mati",0
Foto barang sesuai dengan deskripsi barang. Silakan ubah gambar dari MD ke HDMI ke deskripsi item dari MD ke VGA,0
kipas jual barang rusak tidak berfungsi,0
"Saya pesan barang berbeda tapi tiba berbeda tapi kalau tidak pesan foto, saya hapus saja fotonya dan dipajang, saya akan kecewa",0
"kemasannya jelek, coba langsung dijepit benangnya",0
"Saya harap saya sudah bilang tolong kirimkan barang yang berkualitas baik, apakah Anda menekan dan melepaskan arahnya, tapi sudahlah, ck ck",0
Pesannya tidak sesuai dengan yang di gambar,0
apa yang dapat Anda gunakan dan apa yang tidak dapat Anda gunakan,0
Ponsel tersebut hanya meniru bentuk merek dan berisi Zoonk,0
"barang sesuai pesanan, barang original",0
terima kasih barang sudah diterima,0
kotak penyok kirim chat order penjual akan merespon lalu bayar chat bahkan blskapok beli tanggal bayar tanggal kirim biarkan bintang yang bicara,0
toko resmi tapi sangat kecewa,0
"Gasketnya tidak pakai Babelwra, barang tidak sesuai pesanan, ada box Genius berisi Logitec, warnanya tidak sesuai, serius jadi kurang yakin asli, barang sesuai deskripsi.",0
tidak ada tanggapan dari nokia saat kembali,0
barang basah bisa terendam air banjir,0
Ponselnya rusak dan senyap,0
"Sayang sekali tidak sesuai gambar, yang hitam dikirim warna orange sialan",0
"Otgnya warna hitam tapi gold, minusnya parah, pas di colok hp mati",0
Deteksi Bluetooth terkadang sulit,0
saku sebelah kiri sobek,0
"ringan seperti hp ringan, speaker hp rusak",0
Periksa barang yang cacat,0
barang bagus dikirim lewat pos,0
"barang tergores, kiranya barang bekas yang dijual kembali",0
"Kecewa, barang yang dipesan warna merah ready dan dikirim warna hitam",0
Ponselnya rusak dan tidak bisa digunakan,0
Saya menggunakan pisau dan patah,0
Barangnya rusak dan perlu diganti,0
"Uang kembali untuk barang sesuai bayaran ditambah ongkos kirim, perubahan volume, berat barang, penolakan, kekecewaan, rekomendasi",0
"Barangnya bagus, tapi saat dibeli rusak setelah dipakai seminggu yang lalu",0
Barang diterima sesuai ukuran XL anak,0
ampjaksjsksmnbgbampamp,0
Kirim tepat waktu tapi barangnya bagus sesuai bintang,0
ponsel mati,0
"Saya sudah menulis dengan jelas tentang ukuran pes, mengirim ukuran lain untuk ditukar memang ribet",0
Ikat ujungnya dengan erat dan gunakan beberapa kali,0
"Kios merk Mtech tapi yang kirim barangnya sangat rapuh dan ringan Sebelum membeli mohon hati-hati gan, hanya saya yang kecewa",0
barang sampai dengan sablon miring,0
"Ibarat jam tangan anak-anak kalau pas, build jelek, Casio harganya ribuan, oh iya garansi Casio Indonesia jelas, ceritakan produk resmi Indonesia",0
"Produknya gak original gan, saya bandingkan dengan tetangga yang sudah punya produk aslinya",0
"Kecewa, pembelian dibatalkan, pengiriman salah, menunggu pengembalian barang, stok habis, respon penjualan, penyelesaian pengembalian lambat",0
item fungsi pengisi daya panas,0
Paket yang diterima memiliki pegangan yang rusak karena kemasannya rusak dan hilang. Terima kasih semoga dagangannya lancar dan pelayanannya lancar,0
"Lumayan, stik analog kiri tidak berfungsi setelah setting emulator analog kanan",0
Toko nilai layanan pembeli. Saya kecewa antenanya rusak parah. Debu yang bagus penyok,0
"Apakah penjepitnya tidak bagus? Kualitas produknya buruk. Lemnya tidak menempel. Sejujurnya, saya kecewa",0
packing barang rapi chat jual cepat kirim lambat sesuai pesanan order minggu pakai same day dengan go send diterima kamis malam dengan jnetanpa konfirmasi test barang harap kualitas barang lebih baik kirim toko,0
mengirim barang yang salah,0
beli pakai,0
Saya sudah menerimanya,0
barang standar sesuai harga,0
Barangnya salah karena saya buang dan tidak dipakai,0
menyebalkan,0
"beda pasang, pas bagus, jelek, kain plastiknya berputar, bergetar",0
"Terima kasih gan, saya tidak sengaja mengirimkannya, lain kali cek lagi",0
"Jika Anda mengkonfirmasi barang kosong dengan membeli, jangan langsung refund",0
"Harga rban, kualitas rban, maaf kecewa",0
"Murah dan dekat, terima kasih packing boxnya, barang tidak akan hancur",0
membeli GBS tetapi keadaannya menjadi lebih buruk,0
Foto transistor sesuai produk yang dikirim. Kirim transistor palsu. Tulis di layar transistor yang dicetak. Transistor yang terpasang langsung rusak,0
mengenakan biaya,0
baterai cepat habis maksimal jam koneksi terputus,0
"Packing tokonya pelit sampai-sampai paket USB hubnya sobek. Saran bagi yang beli, mending pakai koneksi keyboard-mouse yang murah, outputnya gak nge-pick, putus-nyambung gitu.",0
Barang yang dikirim mempunyai tegangan keluaran V A tidak sesuai dengan deskripsi tegangan keluaran V A,0
kirim barang rusak hahaha,0
ada yang salah dengan itu,0
set karton emas yang bagus,0
"pelayanan buruk, semoga sesuai harga pelanggan",0
"Brg tulis gambar Jabra, beli emas putih, warna emas, suara bagus",0
terima kasih saja atas prosesnya,0
"Dijual, tidak ada respon, barang error",0
"respon penjualan produk sesuai gambar, kualitas sesuai harga",0
"Baterainya sudah rusak dan baterainya penuh. Saat saya cek di toko jam, karetnya sudah lepas",0
"Kecewa, headset sebelah kiri suaranya mati",0
kualitasnya tidak bagus bahkan tidak mendekati,0
"Produk tidak sesuai gambar maka ada yang cacat. Saya mengisi dayanya saat adaptor masih panas, terima kasih",0
trimstrimstrimstrimstrimstrimstrimstrimstrimstrim,0
"Penjual menyesal barang, stok informatif ditolak, langsung kirim notifikasi, saya harus mencari barang pelayanan buruk",0
Barang sudah dikirim tapi dananya dikembalikan,0
"Barang sudah sampai, respon lumayan cepat gan",0
"Sekelas toko resmi jual barang BM, mesin jelek berantakan, semoga berkah, percaya saja dengan harga diskon, itu penipuan",0
sakit dengan kaki melepuh,0
"pencairannya tidak menempel ke baterai, jatuh apesss",0
barang hingga orang bernama Erna,0
"Barang sudah saya terima, frame sesuai pesan solusi chat, bacanya kecewa banget",0
barang sesuai pesanan,0
"Sesuai gambar, sayangnya matrasnya licin untuk yoga",0
"Produk kecewa, kualitas barang jelek",0
pakai maaf balas beli mahal tidak bisa pakai g recomended terima kasih saya kalah,0
"Sulit, tidak jelas, dan Bluetooth tidak dapat ditemukan",0
kirim fast respon promo jual gratis ongkir,0
"Barang sesuai deskripsi dari sisi fungsional, kualitas barang karena harga murah, lampu keypad menyala, baterai lepas, saya pakai kertas, fungsi baterai tahan pagi dan malam, kualitas suara saat diservis di toko",0
Sayang sekali masih belum rusak,0
"barangnya bagus, tidak kecewa",0
"Tombol mic bosnya bunyi kalau pesanannya kecewa lho, tunggu sampai ya dolo",0
barang habis tanpa pemberitahuan,0
casing lunaknya,0
Yang kirim micaudio tidak recomended,0
Saya tidak bisa menggunakannya dan tidak menyala,0
barang yang dikirim sesuai petunjuk,0
"tidak lengket, produk bagus",0
fungsi ponsel,0
"Barang jelek, casing tidak asli, speaker rusak, barang asli Samsung, casing Samsung",0
"Salah beli, tidak kasih bintang, tidak pakai barangnya",0
"Maaf kualitas produk bagus, barang cacat, bom minggu pakai analog kiri, macet, seperti yang atas",0
"hmm, seberapa seriuskah itu?",0
Gunting kuku tajam dan juga memotong uban,0
"Gan packingnya benar, kertasnya sobek, kecewa",0
"Barang bagus, tapi produk yang saya terima tidak sesuai, saya minta uang receh berwarna coklat tua, ada abu coklat tua",0
isinya segel karat,0
produk kosong tetapi tidak ada pengembalian uang,0
barang berkualitas baik,0
"pengiriman lambat, respon lambat, puas, barang cina, kartu garansi",0
"Kirimkan pada hari barang tiba, jangan khawatir",0
Suaranya tidak jernih dan terdengar nyaring,0
"Respon pengemasan sangat kecewa, tapi mesinnya Cina, Jepang, jadi tidak percaya asli",0
Item menggunakan menit dan baterai lemah di malam hari,0
kualitas bagus tapi manajer pemasaran terburuk tanpa ada rasa saling menghormati pelanggan,0
"barang yang dijual tidak sesuai, menipu banget",0
Lemnya rapi dan sangat ringan,0
kualitas barangnya bagus,0
terima kasih,0
"barang yang dikirim sesuai, barang dikirim dengan harga murah tapi oke, sisa uang dikembalikan",0
Sangat kecewa respon jual jam tangan auto cancel resi masuk ganti ukuran lewat chat ya ganti ganti notifikasi kurir karena charge barang dikirim diganti lebih banyak biaya kirim salah tulis alamat paket salah rute kali hubungi alamat kurir revisi cek hilang ganti feedback bertanggung jawab penyelesaian,0
Fungsi alat tersebut memahami harga gin,0
Tutup rapat dan buka untuk memeriksa apakah gelnya ada atau tidak,0
"Jika barang cacat, cobalah terlebih dahulu sebelum dikirim",0
"Model produk sesuai deskripsi, ukurannya kurang tepat, jadi ukur sesuai ukuran sepatu, seperti ukur kaki, tidak ada foto sepatu yang saya coba.",0
