clean_text,sentiment_num
barang sesuai pesan cepat,1
barang bagus harga murah,1
paket rapimantapcepatsampe tuju,1
ya puas dgn barang,1
responya b mantap,1
seller top kirim cepat barang oke,1
kirim cepat seller top,1
produk sesuai spec web respon seller cepat thankyou,1
respon super cepat kirim cepat barang bagus sesuai deskripsi penjualthx gan,1
barang mantap layan cepat,1
sipppsesuai picdscrbscuma blum coba,1
sayang produk yg paking rapi buka n isi hambur saran klo kirim isi paku tembak lakban kemas paku gabung dgn yg cecer kualitas barang per bagus coba terima kasih,0
barang sesuai deskripsirespon proses cepat terima kasih,1
mantaaaaaaaappp,1
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,1
josss pokok e langgan,1
fungsi normal,1
nilai reputasi jual nilai reputasi jual langkahlangkah,1
barang sesuai deskripsi kirim cepat gak pake barang bagus mantap dahh pokok thanks gan,1
sesuai deskripsi,1
bagus packing aman pake bublewrap ndak patah,1
barang sesuai deskripsi,1
cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,1
barang sesuai pesan,1
thanksssssssssssssss,0
barang bagus sesuai info fast response,1
barang ok rim cepet,1
barang sy terima gan thanks,1
paket terima terima kasih,1
barang bagus ga kecewa order dah,1
barang terima terima kasih,1
barang terima,1
sip udah sampe menit yg oke sesuai pesan gambar trimakasih kerjasamanya,1
sesuai deskripsi barang,1
produk sesuai pesan tp blm dcoba,1
proses cepat mantap,1
sesuai deskripsi barang,1
bagus sesuai dgn deskripsi thnks,1
produk sesuai gambar deskripsi produk bagus harga jg bagus recommended produk,1
seller is good produk mantap stars ya,1
produk bagus sesuai deskripsi packing rapi kirim cepat kurir yg telat thanks,1
mahmurah mantap barang sdh sampe thanks sukses,1
produk terima utuh segel moga awet,1
sesuai order kirim cepat respon cepat,1
respon proses dr jual cepat barang sdh terima stlh kualitas barang bagus recommended seller thanks,1
mantap sesuai deskripsi trimakasih moga barokah jual,1
makasih gan barang sesuai,1
kirim cepat fast respon barang sesuai trims,1
produk bagus kualitas fungsi dg,1
brg terima dg baikamp lengkap,1
great product amp great seller,1
steplesnya staples khusu mollar tembak tumpuk rekomennya sih mending cari isi khusus mollar jk staples merk mollar,1
sesuai pesan,1
produk fungsi dgn,1
produk sesuai deskripsi coba,1
barang sesuai skripsi layan cepat,1
terima terima kasih,1
pesan gx sesuai dgn yg d gambar,-1
terima pakai,1
packing rapi respon cepat recommended,1
barang terima dg thx,1
barang bagus kualitas sesuai harga,0
terima kasih,1
kirim cepat barang sesuai iklan fungsi,1
kwalitas bagus sesuai tawar respons cepat,1
sesuai yg harap terimakasih,1
barang bagus layan toko memuaskanrecomend,1
suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah diiiiteeeerimaaaaa,1
kirim respon super cepat tpi barang sesuai gambar kuat tembus jok motor,-1
produk sesuai deskripsi packing rapi rekomended,1
ok sesuai denggan harga,0
merk kenmaster,1
terimakasih barang,1
bagus kirim cepat,1
siiiiiiiippppppppp,1
barang udh sampemksh,1
terimakasih barang udah,1
fast respon terbaiks,1
makasih barang,1
bagustop kirim cepat,1
thanksss,1
merk beda gpp yg ukrn,1
lihat bintang aja dahhhhh,1
bagus,1
barang terima ukur sesuai deskripsi merek beda kirim fungsi,1
barang sampaitks,1
bagus terimakasih,1
barang samapai gan bagus,1
mantafff sangatsangat sesuai,1
barang terima,1
kirim cepat kemas bagus,1
sesuai minta fast respon,1
matabgoodsesuai minta,1
barang yg kirim sesuai pesan,-1
barang lumayan kuat good,1
murah riah,1
terima bos packing bagus aman,1
makasih barang sesuai gambar,1
